[RUN #0 5 10]
56 -56 -253 -211 823
546 644 901 989 -805
-426 528 -233 272 652
-665 776 -425 701 -349
-342 518 774 371 242
-618 785 778 853 -39
174 365 949 662 249
764 399 783 317 -603
-680 -20 -21 599 807
-348 295 74 -447 -106
[RUN #1 5 10]
-314 -428 -805 -579 923
-759 546 -491 -419 -764
517 583 855 966 916
-570 -638 38 -44 -3
-367 158 -453 303 -295
-542 -51 -767 -535 841
-925 -757 -913 343 -304
53 -923 335 -155 867
768 769 -576 823 -278
-493 -800 878 436 607
[RUN #2 5 10]
158 -79 41 784 742
-164 67 -54 -734 480
766 -604 -401 501 727
-219 994 -772 818 -46
-246 877 832 731 250
-467 642 150 85 84
-359 -179 775 -778 569
-899 -333 -385 -774 -598
-167 852 -130 -650 -39
649 -839 -537 769 732
[RUN #3 5 10]
-938 66 -232 -473 -25
218 -440 -195 -821 -761
-411 994 -530 154 775
773 812 -281 -510 -208
462 786 -899 -552 -983
-498 -278 304 252 -132
831 169 -506 936 329
306 176 751 -739 240
-911 662 748 668 -659
-525 609 309 528 125
[RUN #4 5 10]
-97 88 947 281 -243
-310 350 341 750 513
290 875 -65 -330 794
-990 209 -65 18 364
-964 678 -192 -187 -994
103 -324 -993 443 -537
668 -510 -12 -347 679
771 -928 -561 -880 -458
235 -572 826 179 -141
531 538 677 -540 -854
[RUN #5 5 10]
956 -14 835 741 388
366 -745 379 369 -162
228 -828 271 452 -417
-301 -202 102 -609 297
-728 -321 -697 -236 380
-568 159 912 -706 605
122 675 -128 344 -787
479 635 -153 322 628
478 546 -449 341 -146
-417 585 -567 42 -501
[RUN #6 5 100]
499 -524 -550 -272 -546
913 91 161 -323 796
459 -635 -267 -241 889
159 430 -524 537 117
-356 484 -984 -949 276
885 -842 -79 -382 -988
368 578 231 242 -675
-445 -77 -894 -391 -404
322 966 545 89 -575
-543 593 448 245 -203
169 677 -805 753 -148
-551 638 -819 767 -948
-46 50 391 46 215
32 -724 -25 -258 937
-92 851 -65 845 600
704 -21 -5 -565 202
504 426 170 -213 94
-416 970 -61 440 -175
-906 908 -766 787 299
-592 832 611 -14 796
-491 -91 -756 -249 -85
739 -587 264 888 -814
-201 461 -491 746 -886
610 -364 355 26 349
-961 -665 920 -958 -729
620 -521 -917 203 413
735 -4 185 654 154
225 425 -223 -595 842
134 -348 -231 -725 -219
-552 -554 -973 -110 494
-659 374 -714 401 -789
-966 830 -925 775 -923
68 122 532 -190 617
-353 -847 913 -338 605
600 971 819 585 407
178 34 643 -578 527
-548 330 593 -953 590
-802 125 746 17 289
-632 -916 -309 265 905
403 -569 -281 711 -523
864 327 -944 606 -733
101 -772 774 -6 -238
519 255 -542 406 252
-654 667 -892 -465 -801
-64 231 -91 -187 661
252 -332 -972 -22 746
-864 28 439 575 755
809 -865 -648 -458 -4
-938 -610 119 -915 841
-87 701 413 159 -430
-424 -814 408 -753 -53
440 -826 -335 510 263
-58 -441 -489 -861 -562
51 863 64 699 900
114 809 -361 -5 636
640 -520 605 949 -642
867 -513 -723 -197 -487
-945 -135 530 -223 869
-55 957 212 133 708
618 -963 671 -1 436
763 754 -320 -785 -579
-302 778 -525 -430 535
150 -929 817 919 105
407 528 -530 -541 -659
210 -396 518 -697 442
724 483 -125 329 921
885 -48 -361 -690 -565
418 -71 918 465 389
-424 544 27 -806 498
-651 -257 56 -764 -611
-260 -448 -546 641 979
-34 416 615 -895 -574
-864 -174 -635 939 -407
-718 -926 -241 -847 559
-290 977 -16 -748 503
331 -928 -829 -602 -188
340 263 191 -783 793
-872 437 -877 -513 560
245 -150 -759 -193 495
-484 -260 -420 -433 278
561 -654 822 82 669
406 -367 988 -139 -485
60 744 201 196 -242
659 -109 787 464 498
-206 -652 -307 -281 -247
101 422 191 615 -236
669 92 180 238 24
-590 147 600 39 62
740 80 973 253 96
-972 -469 380 373 491
-934 -407 476 660 292
-429 -739 -273 -330 673
665 -284 496 228 453
-857 228 -846 -469 806
-895 604 -34 -879 984
-48 721 323 -885 82
-54 -308 761 -527 253
483 -358 695 -876 759
540 42 -691 -125 -858
846 -179 634 482 -891
